gid,name
2366f623-b236-3073-bbfe-c26d6d6f195f,Papua New Guinea
0a750c98-a7a5-3d55-bd52-f6e9011b1537,Paraguay
719f6082-95c7-3dd5-9503-e143010a6cc1,Peru
786532a5-2e36-315a-bdf2-221dc1b64b72,Philippines
27b5df20-d817-3126-b3a0-1be6a75f7496,Pitcairn
dd7f80c8-f017-3d01-8608-2a8c9c32b954,Poland
781b0c54-3d54-362d-a941-8a617def4992,Portugal
3906cf32-00a7-32df-93cc-4710c5f5a542,Puerto Rico
348dcc25-7bb6-3f75-8739-97eabc84a330,Qatar
6de750e8-8280-37cf-bd98-0dd800419a18,Réunion
61ed84b8-5a10-30a7-8376-ccd51801d6d1,Romania
1f1fc3a4-9500-39b8-9f10-f0a465557eef,Russia
5921efcf-344c-3e55-829d-34fca714fcde,Rwanda
47a4fef9-c697-3b37-8978-a3bcef251eb4,Saint Barthélemy
6a0bbdbb-dc50-36f0-98a9-49beadb9d0b2,"Saint Helena, Ascension and Tristan da Cunha"
b1439904-121a-38fb-8708-0573cb42e2ef,Saint Kitts and Nevis
178709ab-9e22-39ae-a93c-55e66a8183c2,Saint Lucia
cf9b9b79-1ebc-3b62-9e86-7cf03fb7d548,Saint Martin (French part)
47e97aee-071c-397c-a5d4-323d2b643303,Saint Pierre and Miquelon
7f9f87ec-3c1e-300d-9bb8-fa93f0754e6b,Saint Vincent and The Grenadines
2cc3ea35-b05a-3ec0-a5a2-88e8a482854a,Samoa
d4dd44b6-fa46-30f5-b331-ce9e88d06242,San Marino
dcb0e217-84cb-3772-b98f-a7a7a1dbe185,Sao Tome and Principe
9705be0d-51fb-3990-8726-ec9f56c66ba0,Saudi Arabia
122bb81f-191e-3798-8be2-4b54ffd7ffa4,Senegal
424c1b50-57f8-34af-ab97-313e2ad40058,Serbia
5ebb5384-b92a-3ada-8c8a-363d5075fd44,Serbia and Montenegro
be43ea01-053a-3b23-b03d-2df8317a57ff,Seychelles
2b547f54-a97c-3481-9625-7ad9a670b1e6,Sierra Leone
aa344640-fd57-3960-afb4-84d0d3b69d3d,Singapore
c7d4543d-8f19-365c-a258-f1fe90ff7ac5,Sint Maarten (Dutch part)
eb52ca74-dd11-37a1-a3fa-154430bf2df2,Slovakia
5b0b6225-584c-3942-b69d-5efceb9989af,Slovenia
7fe4001e-eda5-3b5b-bbd8-0f773e76d09c,Solomon Islands
d58b9eb1-c88d-3529-bb4c-b66c96b18c45,Somalia
50cc7852-862e-30ae-aa82-385fe7135b7f,South Africa
38ce2215-162b-3f3c-af41-34800017e1d8,South Georgia and the South Sandwich Islands
b9f7d640-46e8-313e-b158-ded6d18593b3,South Korea
d500d5dc-e4b0-30cb-92bc-1bc79ac2f5b4,South Sudan
32f90933-b4b4-3248-b98c-e573d5329f57,Soviet Union
471c46a7-afc5-31c4-923c-d0444f5053a4,Spain
6e2d562d-a754-3036-8484-7ac576606e27,Sri Lanka
038ad5ba-df6d-35ad-ba12-efe6edd7d0a4,Sudan
9d1049fb-7b2d-3862-a26d-3cc58c8c7b5b,Suriname
32f9a3f3-046f-355f-b4dc-5158d71957c8,Svalbard and Jan Mayen
564741c6-943e-313b-86fa-9819d595281b,Swaziland
23d10872-f5ae-3f0c-bf55-332788a16ecb,Sweden
1333ff06-8e3d-3c8e-9f3a-13a2a38b41df,Switzerland
18086faa-7f75-3ca3-a5bb-a77a83d4b200,Syria
41637cec-9a4f-389c-86d2-fc6abf3357b5,Taiwan
8259e91f-10fa-3c38-92fb-8e6822c279d5,Tajikistan
c2676abd-2ac7-351a-94a9-a802b3434737,Tanzania
ce209e56-cda5-358e-96db-830e3405b675,Thailand
738aed7d-cc30-3a90-af20-21477ba1e8cc,Timor-Leste
9a4a20b1-eff0-364a-a157-dc709b07eadc,Togo
756f26ff-2bc5-3d25-b429-6873ccbe160d,Tokelau
a2b8e506-3570-3a56-826e-939049c59428,Tonga
6c290168-f3b9-3adb-9889-b856feb2c26c,Trinidad and Tobago
58955071-67c1-3491-8dec-48d28f824bda,Tunisia
d3be28b4-41f7-3752-8a05-ed45e1d1e492,Turkey
98e38a45-b90e-3575-943e-23e26ce3a69f,Turkmenistan
a2d01b31-5184-382e-aab5-63b5944195b7,Turks and Caicos Islands
529117db-25de-3d09-9722-b54937a17590,Tuvalu
f33958ac-4198-3ce8-a751-1c44d9b4063a,U.S. Virgin Islands
1ac655f1-12d1-351a-a2b2-8404167e0e0b,Uganda
904768d0-61ca-3c40-93ac-93adc36fef4b,Ukraine
fe40c648-ba74-3e17-b768-58181d5ee563,United Arab Emirates
8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom
489ce91b-6658-3307-9877-795b68554c98,United States
4e8596fe-cbee-34ce-8b35-1f3c9bc094d6,United States Minor Outlying Islands
ea88d395-87c9-3c47-b49a-114cad41fd39,Uruguay
95c0c3ee-ed52-31c4-83e6-19ced497e6d0,Uzbekistan
c2021af8-7645-3f38-aa1b-ada0a13d4faf,Vanuatu
289ea252-a5ae-3dbe-8857-c771a499df18,Vatican City
2ac90d6b-04fa-3006-8a91-89da01032365,Venezuela
0158e991-c3c6-374a-9b9d-024bbaff6980,Vietnam
d5970cc5-1a1f-3a47-83c5-8890f5a61ec3,Wallis and Futuna
c14bc23d-d5fe-3146-9ddf-2cd78ec62d8f,Western Sahara
e8e9ecdc-19d3-360b-8f1a-9c80e6c12830,Yemen
885dce63-c211-3033-8cf7-46cb82d440c7,Yugoslavia
d662dd74-1fc1-3e36-b427-bbbe29684618,Zambia
691e8ad6-2cc8-3678-8495-1ac96bbede55,Zimbabwe
